"period","flux","variation","flux_unit","annual","area","mean","ci_lwr","ci_upr","area_m2","mean_area","ci_lwr_area","ci_upr_area","flux_fct"
"before","reservoir emissions","with degassing","CO2-eq","yes","reservoir",80,70,90,1510000,120800000,105700000,135900000,"reservoir emissions"
"before","reservoir emissions","with degassing","C","yes","reservoir",10.7931055016135,9.44396731391178,12.1422436893151,1510000,16297589.3074363,14260390.6440068,18334787.9708659,"reservoir emissions"
"before","reservoir emissions","without degassing","CO2-eq","yes","reservoir",72.52,63.52,81.52,1510000,109505200,95915200,123095200,"reservoir emissions"
"before","reservoir emissions","without degassing","C","yes","reservoir",10.6283798158279,9.30935860316313,11.9474010284927,1510000,16048853.5219002,14057131.4907763,18040575.553024,"reservoir emissions"
"before","reservoir burial",NA,"CO2-eq","yes","reservoir",-7681.54729991323,-1658.77392496505,-22468.892442334,1510000,-11599136422.869,-2504748626.69723,-33928027587.9244,"reservoir burial"
"before","reservoir burial",NA,"C","yes","reservoir",-2096.2368341731,-452.66700383618,-6131.5927796508,1510000,-3165317619.60137,-683527175.792631,-9258705097.27271,"reservoir burial"
"burp","exposed sediment CO2","0.0833333333333333","CO2-eq","no","exposed sediment area",25,13,37,1342445.29199144,33561132.2997861,17451788.7958888,49670475.8036834,"exposed sediment CO2"
"burp","exposed sediment CO2","1","CO2-eq","no","exposed sediment area",301,152,450,1342445.29199144,404076032.889425,204051684.3827,604100381.39615,"exposed sediment CO2"
"burp","exposed sediment CO2","5","CO2-eq","no","exposed sediment area",1507,762,2252,1342445.29199144,2023065055.03111,1022943312.49748,3023186797.56473,"exposed sediment CO2"
"burp","exposed sediment CO2","10","CO2-eq","no","exposed sediment area",3014,1525,4503,1342445.29199144,4046130110.06221,2047229070.28695,6045031149.83747,"exposed sediment CO2"
"burp","exposed sediment CO2","30","CO2-eq","no","exposed sediment area",9042,4574,13510,1342445.29199144,12138390330.1866,6140344765.56887,18136435894.8044,"exposed sediment CO2"
"burp","exposed sediment CO2","100","CO2-eq","no","exposed sediment area",30138,15244,45032,1342445.29199144,40458616210.0381,20464236031.1176,60452996388.9587,"exposed sediment CO2"
"burp","exposed sediment CO2","0.0833333333333333","C","no","exposed sediment area",7,4,10,1342445.29199144,9397117.04394011,5369781.16796578,13424452.9199144,"exposed sediment CO2"
"burp","exposed sediment CO2","1","C","no","exposed sediment area",82,41,123,1342445.29199144,110080513.943298,55040256.9716492,165120770.914948,"exposed sediment CO2"
"burp","exposed sediment CO2","5","C","no","exposed sediment area",411,208,614,1342445.29199144,551745015.008484,279228620.73422,824261409.282747,"exposed sediment CO2"
"burp","exposed sediment CO2","10","C","no","exposed sediment area",822,415,1229,1342445.29199144,1103490030.01697,557114796.176449,1649865263.85749,"exposed sediment CO2"
"burp","exposed sediment CO2","30","C","no","exposed sediment area",2467,1248,3686,1342445.29199144,3311812535.34289,1675371724.40532,4948253346.28046,"exposed sediment CO2"
"burp","exposed sediment CO2","100","C","no","exposed sediment area",8224,4160,12288,1342445.29199144,11040270081.3376,5584572414.68441,16495967747.9909,"exposed sediment CO2"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","CO2-eq","no","exposed sediment area",5.05594194079335,-14.5154731736788,21.9368801371523,1342445.29199144,6787325.45500012,-19486228.6230332,29449061.4611007,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","CO2-eq","no","exposed sediment area",60.6713032895202,-174.185678084145,263.242561645828,1342445.29199144,81447905.4600014,-233834743.476398,353388737.533209,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_5","CO2-eq","no","exposed sediment area",303.356516447601,-870.928390420726,1316.21280822914,1342445.29199144,407239527.300007,-1169173717.38199,1766943687.66605,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_10","CO2-eq","no","exposed sediment area",606.713032895202,-1741.85678084145,2632.42561645827,1342445.29199144,814479054.600014,-2338347434.76398,3533887375.33208,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_30","CO2-eq","no","exposed sediment area",1820.13909860487,-5225.57034252028,7897.27684937352,1342445.29199144,2443437163.69166,-7015042304.28647,10601662125.9945,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_100","CO2-eq","no","exposed sediment area",6062.37616089275,-17414.5021429396,26320.4056749076,1342445.29199144,8138408335.47164,-23378016414.1642,35333704681.5846,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","C","no","exposed sediment area",0.111342714370192,-0.319661934897832,0.483097276014374,1342445.29199144,149471.502703812,-429128.65953247,648531.663759388,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","C","no","exposed sediment area",1.33611257244231,-3.83594321877399,5.79716731217251,1342445.29199144,1793658.03244576,-5149543.91438965,7782379.96511268,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_5","C","no","exposed sediment area",6.68056286221154,-19.1797160938699,28.9858365608624,1342445.29199144,8968290.16222877,-25747719.5719482,38911899.8255632,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_10","C","no","exposed sediment area",13.3611257244231,-38.3594321877399,57.9716731217249,1342445.29199144,17936580.3244576,-51495439.1438965,77823799.6511265,"exposed sediment CH4"
